Index,Stroke,Club,Phase,Start Loc,Start Dist,End Loc,End Dist,Strokes Gained,Tee,Course,Date,Hole,Strokes to Hole
45,45,8i,APPR125-175,Rough,153,Green,20,0.324,Palmer,LaurelCreek,11/11/2018,10,3
46,46,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,11/11/2018,10,2
47,47,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,10,1
48,48,Driver,Tee,Tee,380,Fairway,145,0.032,Palmer,LaurelCreek,11/11/2018,11,4
49,49,9i,APPR125-175,Fairway,145,Rough,15,-0.537,Palmer,LaurelCreek,11/11/2018,11,3
50,50,SW,Short Game,Rough,15,Green,1,0.464,Palmer,LaurelCreek,11/11/2018,11,2
51,51,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,11,1
52,52,Driver,Tee,Tee,420,Fairway,170,-0.01,Palmer,LaurelCreek,11/11/2018,12,4
53,53,6i,APPR125-175,Fairway,170,Green,20,0.152,Palmer,LaurelCreek,11/11/2018,12,3
54,54,Putter,Green,Green,20,Green,5,-0.378,Palmer,LaurelCreek,11/11/2018,12,2
55,55,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,11/11/2018,12,1
56,56,Driver,Tee,Tee,360,Fairway,130,0.04,Palmer,LaurelCreek,11/11/2018,13,4
57,57,PW,APPR125-175,Fairway,130,Green,20,0.002,Palmer,LaurelCreek,11/11/2018,13,3
58,58,Putter,Green,Green,20,Green,3,-0.175,Palmer,LaurelCreek,11/11/2018,13,2
59,59,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,13,1
60,60,6i,Tee,Tee,170,Rough,15,-0.445,Palmer,LaurelCreek,11/11/2018,14,4
61,61,LW,Short Game,Rough,15,Rough,14,-0.975,Palmer,LaurelCreek,11/11/2018,14,3
62,62,LW,Short Game,Rough,14,Green,3,0.387,Palmer,LaurelCreek,11/11/2018,14,2
63,63,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,14,1
64,64,Driver,Tee,Tee,510,Fairway,250,-0.035,Palmer,LaurelCreek,11/11/2018,15,6
65,65,3W,APPR210+,Fairway,250,Fairway,50,-0.145,Palmer,LaurelCreek,11/11/2018,15,5
66,66,LW,Short Game,Fairway,50,Rough,10,-0.68,Palmer,LaurelCreek,11/11/2018,15,4
67,67,LW,Short Game,Rough,10,Green,10,-0.286,Palmer,LaurelCreek,11/11/2018,15,3
68,68,Putter,Green,Green,10,Green,1,-0.375,Palmer,LaurelCreek,11/11/2018,15,2
69,69,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,11/11/2018,15,1
70,70,Driver,Tee,Tee,410,Fairway,160,0.03,Palmer,LaurelCreek,11/11/2018,16,4
71,71,7i,APPR125-175,Fairway,160,Fairway,50,-0.68,Palmer,LaurelCreek,11/11/2018,16,3
72,72,LW,Short Game,Fairway,50,Green,10,0.034,Palmer,LaurelCreek,11/11/2018,16,2
73,73,Putter,Green,Green,10,In the Hole,0,0.626,Palmer,LaurelCreek,11/11/2018,16,1
74,74,4i,Tee,Tee,220,Penalty,220,-2,Palmer,LaurelCreek,11/11/2018,17,5
75,75,Penalty,Penalty,Penalty,220,Penalty,0,0,Palmer,LaurelCreek,11/11/2018,17,4
76,76,9i,APPR125-175,Rough,145,Green,15,0.38,Palmer,LaurelCreek,11/11/2018,17,3
77,77,Putter,Green,Green,15,Green,3,-0.263,Palmer,LaurelCreek,11/11/2018,17,2
78,78,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,11/11/2018,17,1
79,79,Driver,Tee,Tee,410,Fairway,150,0.065,Palmer,LaurelCreek,11/11/2018,18,5
80,80,8i,APPR125-175,Fairway,150,Rough,10,-0.395,Palmer,LaurelCreek,11/11/2018,18,4
81,81,SW,Short Game,Rough,10,Green,12,-0.365,Palmer,LaurelCreek,11/11/2018,18,3
82,82,Putter,Green,Green,12,Green,2,-0.304,Palmer,LaurelCreek,11/11/2018,18,2
83,83,Putter,Green,Green,2,In the Hole,0,0.009,Palmer,LaurelCreek,11/11/2018,18,1
1,1,Driver,Tee,Tee,410,Rough,105,-0.025,Palmer,LaurelCreek,12/2/2018,1,4
2,2,SW,APPR<125,Rough,105,Green,35,0.019,Palmer,LaurelCreek,12/2/2018,1,3
3,3,Putter,Green,Green,35,Green,5,-0.24,Palmer,LaurelCreek,12/2/2018,1,2
4,4,Putter,Green,Green,5,In the Hole,0,0.256,Palmer,LaurelCreek,12/2/2018,1,1
5,5,Driver,Tee,Tee,360,Penalty,360,-2,Palmer,LaurelCreek,12/2/2018,2,6
6,6,Penalty,Penalty,Penalty,360,Penalty,0,0,Palmer,LaurelCreek,12/2/2018,2,5
7,7,Driver,Tee,Tee,360,Rough,125,-0.178,Palmer,LaurelCreek,12/2/2018,2,4
8,8,AW,APPR125-175,Rough,125,Green,25,0.164,Palmer,LaurelCreek,12/2/2018,2,3
9,9,Putter,Green,Green,25,Green,3,-0.119,Palmer,LaurelCreek,12/2/2018,2,2
10,10,Putter,Green,Green,3,In the Hole,0,0.053,Palmer,LaurelCreek,12/2/2018,2,1
11,11,6i,Tee,Tee,168,Green,5,0.758,Palmer,LaurelCreek,12/2/2018,3,3
12,12,Putter,Green,Green,5,Green,1,-0.745,Palmer,LaurelCreek,12/2/2018,3,2
13,13,Putter,Green,Green,1,In the Hole,0,0.001,Palmer,LaurelCreek,12/2/2018,3,1
14,14,Driver,Tee,Tee,390,Fairway,160,0,Palmer,LaurelCreek,12/2/2018,4,4
15,15,7i,APPR125-175,Fairway,160,Green,18,0.132,Palmer,LaurelCreek,12/2/2018,4,3
16,16,Putter,Green,Green,18,Green,4,-0.299,Palmer,LaurelCreek,12/2/2018,4,2
17,17,Putter,Green,Green,4,In the Hole,0,0.147,Palmer,LaurelCreek,12/2/2018,4,1
18,18,Driver,Tee,Tee,510,Penalty,330,-1.505,Palmer,LaurelCreek,12/2/2018,5,7
